,Title,Price,Original_Price,Discount,Link,Rating,Brand,Category,Price_Tier
28,d'Alba First Spray Serum 100mL,35.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220816024,4.7,d'Alba,Serum,Mid
29,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,20.4,24.0,15.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250127891,4.8,SKIN1004,Ampoule,Mid
30,medicube PDRN Pink Peptide Ampoule,26.47,33.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240825058,4.6,medicube,Ampoule,Mid
31,Dr. Althea 147 Barrier Cream 50ml,24.3,27.0,10.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250229057,4.7,Dr.,Cream,Mid
32,Anua PDRN Hyaluronic Acid 100 Moisturizing Cream 60ml Set (+30ml),22.54,37.0,39.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250329147,4.8,Anua,Serum,Mid
33,d'Alba White Truffle First Spray Serum 100mL Double Pack,70.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA221016470,4.8,d'Alba,Serum,Luxury
34,VT Reedle Shot 300 Essence 50mL,33.76,44.0,23.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230820054,4.7,VT,Essence,Mid
35,BIOHEAL BOH PROBIODERM 3D Lifting Eye & Wrinkle Cream 25ml Double Pack,20.61,31.0,34.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240623965,4.7,BIOHEAL,Serum,Mid
36,ROUND LAB Birch Juice Moisturizing Cream 80ml Set (+Refill 50ml),30.07,43.0,30.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250228579,4.9,ROUND,Cream,Mid
37,Eqqualberry Swimming Pool Toner 300ml,29.4,42.0,30.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250430414,5.0,Eqqualberry,Toner,Mid
38,medicube PDRN Pink Collagen Capsule cream 55g,31.44,44.0,29.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250329693,,medicube,Cream,Mid
39,Centellian24 Madeca Cream Time Reverse 50ml Double Pack (+15ml*2ea),36.93,88.0,58.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240423317,4.8,Centellian24,Cream,Mid
40,Beauty of Joseon Glow Serum: Propolis+Niacinamide 30ml Set (+10ml),13.6,17.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240825079,4.8,Beauty,Serum,Budget
41,Dr.G Black Snail Cream Duo Set (50ml+50ml+15ml Gift),29.92,39.0,23.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230317951,4.8,Dr.G,Cream,Mid
42,S. NATURE Aqua Squalane Moisturizing Cream 60mL Special Set,20.88,28.0,25.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA210811702,4.8,S.,Cream,Mid
43,[TWEETY EDITION] INNISFREE Vitamin C Green Tea Enzyme Brightening Serum 30ml Refill Set (+TWEETY Pouch),32.07,44.0,27.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250329153,4.8,[TWEETY,Serum,Mid
44,Dr. Althea Vitamin C Boosting Serum 30ml,21.6,24.0,10.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250229056,4.9,Dr.,Serum,Mid
45,AHC Pro Shot Eye Cream For Face 30ml Special Set (+Serum 10ml),35.34,44.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240423273,4.7,AHC,Serum,Mid
46,Celimax The Real Noni Energy Ampoule 80ml Special Set (+Ampoule 10ml),35.1,39.0,10.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240423022,4.9,Celimax,Ampoule,Mid
47,Anua Heartleaf Pore Control Cleansing Oil 350mL,34.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA231020697,4.7,Anua,Toner,Mid
48,numbuzin No. 1 Pure-full Calming Herb Toner 300mL (+300mL Refill),24.97,37.0,33.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230920361,4.8,numbuzin,Toner,Mid
49,AXIS-Y Dark Spot Correcting Glow Serum 50mL,14.99,23.0,35.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230518636,4.6,AXIS-Y,Serum,Budget
50,Anua PDRN Hyaluronic Capsule 100 Serum 30ml,21.25,32.0,34.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240925558,4.8,Anua,Serum,Mid
51,Torriden Dive In Low Molecular Hyaluronic Acid Serum 50ml Refill Pack,15.2,19.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241227112,4.8,Torriden,Serum,Budget
52,[+100ml] ROUND LAB 1025 Dokdo Cleanser 250ml,19.68,26.0,24.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA210711290,4.8,[+100ml],Cleanser,Budget
53,numbuzin No. 9 NAD Bio Lifting-sil Essence 50ml,25.2,33.0,24.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250127641,4.8,numbuzin,Serum,Mid
54,CAREPLUS Salicylic Acid Trouble Patch 24P,17.85,21.0,15.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250228549,4.9,CAREPLUS,Cream,Budget
55,Haruharu wonder Black Rice Moisture Deep Cleansing Oil 150ml,17.5,25.0,30.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA221116714,4.7,Haruharu,Cleanser,Budget
56,Anua PDRN Hyaluronic Acid 100 Moisturizing Cream 60ml,26.01,37.0,30.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250128314,4.9,Anua,Serum,Mid
